id,category,statement,nchar,polarity
1,1,And it’s one of many reasons that being <strong>American</strong> has always been such a blessing.,98,1
2,1,"I will defend voting rights and work to end Citizens United, which has corrupted the <strong>American</strong>",110,1
3,1,"If we’re going to ask African<strong>-Americans</strong>to vote for us, we can’t take you or your vote for granted.",115,-1
4,1,"We Democrats agree that every single <strong>American</strong> should and must have quality, affordable health care.",116,1
5,1,We know they could reach Israel or hit the tens of thousands of <strong>American</strong> troops stationed in the Middle East.,126,1
6,1,"The kind of campaign that the other side is running, pitting <strong>Americans</strong> against one another, is just not who we are.",132,1
7,1,"And Ted Cruz, he’s advocating that we have special police patrols patrolling neighborhoods where <strong>American</strong> Muslims live.",136,0
8,1,We should continue to demand the safe return of Robert Levinson and all <strong>American</strong> citizens unjustly held in Iranian prisons,139,-1
9,1,"As I wrote last year to the heads of major <strong>American</strong>Jewish organizations, we have to be united in fighting back against BDS.",140,-1
10,1,"Tonight, you'll hear from candidates with very different visions of <strong>American</strong> leadership in the region and around the world.",140,1
11,1,We should continue to demand the safe return of Robert Levinson and all <strong>American</strong> citizens unjustly held in Iranian prisons.,140,-1
12,1,This is the real foundation of our alliance and I think it's why so many <strong>Americans</strong> feel such a deep emotional connection with Israel.,150,-1
13,1,"They would demonize and discriminate against hardworking, terror-hating Muslim <strong>Americans</strong> who we need in the fight against radicalization.",154,-1
14,1,"They would demonize and discriminate against hardworking, terror-hating Muslim <strong>Americans</strong> who we need in the fight against radicalization.",154,-1
15,1,"And not to be outdone by his primary rival, Ted Cruz would treat Muslim <strong>Americans</strong> like criminals and religiously profile their neighborhoods.",158,0
16,1,"It is our obligation and our challenge not to grow weary either until every <strong>American</strong> has the dignity, the justice, and the opportunity they deserve.",165,0
17,1,"Just a few weeks ago, a young <strong>American</strong> veteran and West Point graduate named Taylor Force was murdered by a Palestinian terrorist near the Jaffa Port.",167,0
18,1,"And because African<strong>-American</strong>homeownership has long been one of the surest ways to fund and build wealth, we’ll match up to $10,000 in savings for a down payment.",178,0
19,1,"So my friends, throughout this campaign, and then as President, I’m going to keep fighting to break down all the barriers holding back every American. My door will always be open to you.",186,1
20,1,"You know, as a senator from New York and secretary of state I've had the privilege of working closely with AIPAC members to strengthen and deepen <strong>America’s</strong> ties with Israel.",190,1
21,1,And I will use the White House bully pulpit to stand up for the basic proposition that the <strong>American</strong> labor movement helped to create the <strong>American</strong> middle class.,192,1
22,1,"As I have said many times, white <strong>Americans</strong> need to do a much better job of listening when <br> African<strong>-Americans</strong>talk about the seen and unseen barriers you face every day.",205,0
23,1,"And I think it’s imperative that we have to stand up against the gun lobby and put forth a commonsense agenda that is supported <br> by the vast majority of <strong>Americans</strong>, including gun owners.",206,1
24,1,"I know there are still too many barriers holding too many <strong>Americans</strong> back. But despite what other candidates say, <br> we believe in the goodness of our people and the greatness of our nation.",208,0
25,1,"So in this election, we will have to stand together and work hard to prevail against candidates on the other side <br> who would threaten all those rights and pit <strong>Americans</strong> against each other.",209,0
26,1,The next president will sit down at that desk and start making decisions that will affect both the lives and livelihoods of <br> every <strong>American</strong> and the security of our friends around the world.,210,1
27,1,"Mass incarceration is just one part of a broader set of interlocking challenges, because years of underinvestment and neglect <br> have hollowed out many predominantly African<strong>-American</strong>communities.",213,0
28,1,"And New York represents the best of <strong>American</strong> values, despite what some on the other side have said <br> and that we have to constantly challenge ourselves to stand up and face all that we still have to overcome.",228,-1
29,1,"There’s something wrong, my friends, when the median wealth for black families is a tiny fraction of the median wealth for white families, <br> when African <strong>Americans</strong> are still more likely to be denied a mortgage.",230,-1
